SUMMARY,DTSTART,DTEND,DUE,NOTES,ATTENDEE,LOCATION,PRIORITY,URL,CALENDAR,UID,ORGANIZER,CATEGORIES,DURATION
"Johns Hopkins Interview Days","2010-09-23","2010-09-25",,"","","","","",,,,,
"Johns Hopkins Interview Days","2010-09-30","2010-10-02",,"","","","","",,,,,
"UCSF Interview Day","2010-10-05","2010-10-06",,"","","","","",,,,,
"Johns Hopkins Interview Day","2010-10-07","2010-10-09",,"","","","","",,,,,
"UCSF Interview Day","2010-10-12","2010-10-13",,"FREQ=WEEKLY;UNTIL=20110208;BYDAY=TU","","","","",,,,,
"Johns Hopkins Interview Day","2010-10-14","2010-10-16",,"","","","","",,,,,
"Mt Sinai Interview Day","2010-10-25","2010-10-27",,"","","","","",,,,,
"Johns Hopkins Interview Day","2010-10-28","2010-10-30",,"","","","","",,,,,
"Penn interview day","2010-10-28","2010-10-30",,"","","","","",,,,,
"Rochester Interview Day","2010-10-28","2010-10-30",,"","","","","",,,,,
"NYU Interview Day","2010-10-29","2010-10-30",,"","","","","",,,,,
"Weill Cornell/Rockefeller/Sloan-Kettering Interview Day","2010-10-29","2010-10-30",,"","","New York City","","",,,,,
"Einstein Interview","2010-10-29","2010-10-30",,"","","","","",,,,,
"Columbia Interview Day","2010-11-03","2010-11-04",,"","","","","",,,,,
"Johns Hopkins Interview Day","2010-11-04","2010-11-06",,"","","","","",,,,,
"Rochester Interview Day","2010-11-04","2010-11-06",,"","","","","",,,,,
"Mt Sinai Interview Day","2010-11-08","2010-11-10",,"","","","","",,,,,
"BCM MSTP Interview","2010-11-11","2010-11-14",,"","","","","",,,,,
"Penn interview day","2010-11-18","2010-11-20",,"","","","","",,,,,
"Johns Hopkins Interview Day","2010-11-18","2010-11-20",,"","","","","",,,,,
"Einstein Interview","2010-11-19","2010-11-20",,"","","","","",,,,,
"NYU Interview Day","2010-11-19","2010-11-20",,"","","","","",,,,,
"Weill Cornell/Rockefeller/Sloan-Kettering Interview Day","2010-11-19","2010-11-20",,"","","New York City","","",,,,,
"Columbia Interview Day","2010-11-19","2010-11-20",,"","","","","",,,,,
"Mt Sinai Interview Day","2010-11-22","2010-11-24",,"","","","","",,,,,
"UAB Interview Days","2010-12-01","2010-12-04",,"","","Birmingham, AL","","",,,,,
"BCM MSTP Interview","2010-12-02","2010-12-05",,"","","","","",,,,,
"Columbia Interview Day","2010-12-03","2010-12-04",,"","","","","",,,,,
"UCSF Interview Day","2010-12-03","2010-12-04",,"","","","","",,,,,
"Einstein Interview","2010-12-03","2010-12-04",,"","","","","",,,,,
"NYU Interview Day","2010-12-03","2010-12-04",,"","","","","",,,,,
"Harvard Interview Day","2010-12-07","2010-12-08",,"","","","","",,,,,
"UAB Interview Days","2010-12-08","2010-12-11",,"","","Birmingham, AL","","",,,,,
"Johns Hopkins Interview Day","2010-12-09","2010-12-11",,"","","","","",,,,,
"Rochester Interview Day","2010-12-09","2010-12-11",,"","","","","",,,,,
"Penn interview day","2010-12-09","2010-12-11",,"","","","","",,,,,
"Columbia Interview Day","2010-12-10","2010-12-11",,"","","","","",,,,,
"NYU Interview Day","2010-12-10","2010-12-11",,"","","","","",,,,,
"Harvard Interview Day","2010-12-14","2010-12-15",,"","","","","",,,,,
"Penn interview day","2010-12-16","2010-12-18",,"","","","","",,,,,
"Rochester Interview Day","2010-12-16","2010-12-18",,"","","","","",,,,,
"Einstein Interview","2010-12-17","2010-12-18",,"","","","","",,,,,
"Columbia Interview Day","2010-12-17","2010-12-18",,"","","","","",,,,,
"UCSF Interview Day","2011-01-05","2011-01-06",,"","","","","",,,,,
"BCM MSTP Interview","2011-01-06","2011-01-09",,"","","","","",,,,,
"Johns Hopkins Interview Day","2011-01-06","2011-01-08",,"","","","","",,,,,
"Penn interview day","2011-01-06","2011-01-08",,"","","","","",,,,,
"Rochester Interview Day","2011-01-06","2011-01-08",,"","","","","",,,,,
"Mt Sinai Interview Day","2011-01-06","2011-01-08",,"","","","","",,,,,
"Einstein Interview","2011-01-07","2011-01-08",,"","","","","",,,,,
"Columbia Interview Day","2011-01-07","2011-01-08",,"","","","","",,,,,
"Harvard Interview Day","2011-01-11","2011-01-12",,"","","","","",,,,,
"UAB Interview Days","2011-01-12","2011-01-15",,"","","Birmingham, AL","","",,,,,
"UCSF Interview Day","2011-01-12","2011-01-13",,"","","","","",,,,,
"Penn interview day","2011-01-13","2011-01-15",,"","","","","",,,,,
"Johns Hopkins Interview Day","2011-01-13","2011-01-15",,"","","","","",,,,,
"Columbia Interview Day","2011-01-14","2011-01-15",,"","","","","",,,,,
"UAB Interview Days","2011-01-19","2011-01-22",,"","","Birmingham, AL","","",,,,,
"UCSF Interview Day","2011-01-19","2011-01-20",,"","","","","",,,,,
"Rochester Interview day","2011-01-20","2011-01-22",,"","","","","",,,,,
"Einstein Interview","2011-01-21","2011-01-22",,"","","","","",,,,,
"UCSF Interview Day","2011-01-21","2011-01-22",,"","","","","",,,,,
"Mt Sinai Interview Day","2011-01-24","2011-01-26",,"","","","","",,,,,
"Harvard Interview Day","2011-01-25","2011-01-26",,"","","","","",,,,,
"Johns Hopkins Interview Day","2011-01-27","2011-01-29",,"","","","","",,,,,
"BCM MSTP Interview","2011-01-27","2011-01-30",,"","","","","",,,,,
"UCSF Interview Day","2011-01-28","2011-01-29",,"","","","","",,,,,
"Harvard Interview Day","2011-02-01","2011-02-02",,"","","","","",,,,,
"Rochester Interview Day","2011-02-03","2011-02-05",,"","","","","",,,,,
"UAB Second Visit","2011-03-10","2011-03-13",,"","","Birmingham, AL","","",,,,,
"Einstein Revisit","2011-03-18","2011-03-19",,"","","","","",,,,,
"Rochester MSTP Revisit","2011-03-24","2011-03-27",,"","","","","",,,,,
"BCM MSTP Second Look","2011-03-24","2011-03-27",,"","","","","",,,,,
"Duke MD-PhD Revisit","2011-04-07","2011-04-11",,"","","","","",,,,,
"Stanford MD-PhD Revisit","2011-04-07","2011-04-10",,"","","","","",,,,,
"NYU MD-PhD Revisit Day","2011-04-07","2011-04-10",,"","","New York City","","",,,,,
"Johns Hopkins MD-PhD Revisit Day","2011-04-07","2011-04-08",,"","","Baltimore, MD","","",,,,,
